registered,registration_target,decision,reason,title,primary_artist,album,album_artist,genre,duration_sec,file_path_linux,file_path_windows,file_ext,file_size_bytes
1,0,include,tagged vocal/music candidate,散るぞ恋しき,浅葉リオ,紫盤 2024,,Pop,307,/mnt/d/yu28s/Music/Compilations/紫盤 2024/1-07 散るぞ恋しき.m4a,D:\yu28s\Music\Compilations\紫盤 2024\1-07 散るぞ恋しき.m4a,.m4a,10092711
1,0,include,tagged vocal/music candidate,挙恋一擲,山崎もえ,紫盤 2024,,Pop,229,/mnt/d/yu28s/Music/Compilations/紫盤 2024/1-08 挙恋一擲.m4a,D:\yu28s\Music\Compilations\紫盤 2024\1-08 挙恋一擲.m4a,.m4a,8040021
1,0,include,tagged vocal/music candidate,非実空想アムネジア,橋本みゆき,紫盤 2024,,Pop,258,/mnt/d/yu28s/Music/Compilations/紫盤 2024/1-09 非実空想アムネジア.m4a,D:\yu28s\Music\Compilations\紫盤 2024\1-09 非実空想アムネジア.m4a,.m4a,9242352
1,0,include,tagged vocal/music candidate,Criminal Gradation,橋本みゆき,紫盤 2024,,Pop,249,/mnt/d/yu28s/Music/Compilations/紫盤 2024/2-01 Criminal Gradation.m4a,D:\yu28s\Music\Compilations\紫盤 2024\2-01 Criminal Gradation.m4a,.m4a,8676647
1,0,include,tagged vocal/music candidate,隠恋情,浅葉リオ,紫盤 2024,,Pop,218,/mnt/d/yu28s/Music/Compilations/紫盤 2024/2-02 隠恋情.m4a,D:\yu28s\Music\Compilations\紫盤 2024\2-02 隠恋情.m4a,.m4a,7533738
1,0,include,tagged vocal/music candidate,花よ散り逝け 人も散るなり,山崎もえ,紫盤 2024,,Pop,231,/mnt/d/yu28s/Music/Compilations/紫盤 2024/2-03 花よ散り逝け 人も散るなり.m4a,D:\yu28s\Music\Compilations\紫盤 2024\2-03 花よ散り逝け 人も散るなり.m4a,.m4a,7870524
1,0,include,tagged vocal/music candidate,Life Initialization,橋本みゆき,紫盤 2024,,Pop,266,/mnt/d/yu28s/Music/Compilations/紫盤 2024/2-04 Life Initialization.m4a,D:\yu28s\Music\Compilations\紫盤 2024\2-04 Life Initialization.m4a,.m4a,8894443
1,0,include,tagged vocal/music candidate,葬送の旋律,紫咲ほたる,紫盤 2024,,Pop,269,/mnt/d/yu28s/Music/Compilations/紫盤 2024/2-05 葬送の旋律.m4a,D:\yu28s\Music\Compilations\紫盤 2024\2-05 葬送の旋律.m4a,.m4a,8959665
1,0,include,tagged vocal/music candidate,lip ripples,橋本みゆき,紫盤 2024,,Pop,184,/mnt/d/yu28s/Music/Compilations/紫盤 2024/2-06 lip ripples.m4a,D:\yu28s\Music\Compilations\紫盤 2024\2-06 lip ripples.m4a,.m4a,6213430
1,0,include,tagged vocal/music candidate,never,逢瀬アキラ,紫盤 2024,,Pop,174,/mnt/d/yu28s/Music/Compilations/紫盤 2024/2-07 never.m4a,D:\yu28s\Music\Compilations\紫盤 2024\2-07 never.m4a,.m4a,5835474
